No,Kode Saham,Nama Perusahaan,Remarks,Sebelumnya,Open Price,Tanggal Perdagangan Terakhir,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
367,INKP,Indah Kiat Pulp & Paper Tbk.,--MO1XDQM16000B152------------,8625,8625,09 Jan 2023,8650,8725,8500,8600,-25,4644800,39917320000,3272,443.1,8600,25700,8575,5200,5470982941,5470982941,1874905854,2408600,2448900,915622,7838281786,13
368,INOV,Inocycle Technology Group Tbk.,--U-1100000000E413------------,120,0,09 Jan 2023,0,126,120,125,5,3534300,428397100,77,50,125,19500,123,300,1808221900,1808221900,369419734,0,100000,0,0,0
369,INPC,Bank Artha Graha Internasional Tbk.,--U-1105000000G111------------,70,0,09 Jan 2023,0,72,68,68,-2,2185500,151659200,162,0.4,70,82800,68,327700,20021178779,20021178779,9704265354,0,151800,0,0,0
370,INPP,Indonesian Paradise Property Tbk.,--U-2105000000H111------------,398,0,09 Jan 2023,0,402,402,402,4,100,40200,1,382.9,408,1000,398,600,11181971732,11181971732,246003378,0,0,0,0,0
371,INPS,Indah Prakasa Sentosa Tbk.,--U-2100000000A112------------,995,0,09 Jan 2023,0,1015,970,970,-25,4228200,4171095500,3759,351.4,970,1300,965,30900,650000000,650000000,64350000,0,0,0,0,0
372,INRU,Toba Pulp Lestari Tbk.,--U-2100000000B152------------,630,0,09 Jan 2023,0,640,600,640,10,5700,3616500,16,6.5,645,100,640,300,1388883283,1388883283,75277474,0,0,0,0,0
373,INTA,Intraco Penta Tbk.,--U-2100000000C141-ED--------X,74,0,09 Jan 2023,0,0,0,74,0,0,0,0,52.2,0,0,0,0,3343935022,3343935022,1203482214,0,0,0,0,0
374,INTD,Inter Delta Tbk,--U-2130000000B152------------,183,0,09 Jan 2023,0,238,171,230,47,7788900,1699017100,2634,70.8,230,282100,228,583300,591828000,591828000,66817381,0,0,0,0,0
375,INTP,Indocement Tunggal Prakarsa Tbk.,--MO1SATM36000B121------------,10050,10125,09 Jan 2023,10150,10275,10000,10275,225,2257200,22857422500,1507,411,10275,49300,10150,1800,3681231699,3681231699,1545012944,535600,333800,695200,7011838800,2
376,IPAC,Era Graharealty Tbk.,--U-3000000000H111------------,111,0,09 Jan 2023,0,120,109,120,9,38100,4325900,26,100,120,21600,115,300,949868500,949868500,0,0,0,0,0,0
377,IPCC,Indonesia Kendaraan Terminal Tbk.,XDM-1135050000J113------------,535,0,09 Jan 2023,0,545,535,540,5,1254800,676265000,269,32.9,540,186500,535,299300,1818384820,1818384820,408409231,273000,26300,0,0,0
378,IPCM,Jasa Armada Indonesia Tbk.,--M-1135050000J113------------,270,0,09 Jan 2023,0,272,268,270,0,938800,252802600,230,71.1,270,70300,268,87000,5284811100,5284811100,637876700,0,0,0,0,0
379,IPOL,Indopoly Swakarsa Industry Tbk.,--U-1135000000B131------------,141,0,09 Jan 2023,0,150,140,147,6,185100,27080000,99,70,147,28000,145,3100,6443379509,6443379509,1198468589,0,0,0,0,0
380,IPPE,Indo Pureco Pratama Tbk.,--U-2835000000D232------------,122,0,09 Jan 2023,0,125,118,124,2,16546400,1989170800,1045,124,124,135400,123,72900,4600000000,4600000000,2444440000,15600,7100,0,0,0
381,IPTV,MNC Vision Networks Tbk.,--U-1835400000E613------------,63,0,09 Jan 2023,0,64,61,61,-2,8637800,536155500,601,25.4,62,681800,61,1895200,42197950841,42197950841,13726993409,2041700,100000,0,0,0
382,IRRA,Itama Ranoraya Tbk.,--M-2835000000F112------------,1040,0,09 Jan 2023,0,1045,1020,1040,0,2589200,2667711500,456,278.1,1040,117800,1035,29200,1600000000,397400000,263680000,80600,300,0,0,0
383,ISAP,Isra Presisi Indonesia Tbk.,--U-3000000000E111------------,112,0,09 Jan 2023,0,115,103,106,-6,19622100,2129952800,2176,110.4,106,673600,105,184500,4020000000,1500000000,0,56700,28700,0,0,0
384,ISAT,Indosat Tbk.,--M-1838F23000J321------------,6125,0,09 Jan 2023,0,6150,5925,5925,-200,3641900,21842017500,1661,423.2,5925,55200,5900,72100,8062702740,8062702740,1319864439,2928700,894500,97,594125,1
385,ISSP,Steel Pipe Industry of Indonesia Tbk.,--M-1135000000B144------------,236,0,09 Jan 2023,0,240,232,234,-2,1941700,461002600,303,79.3,236,50000,234,156800,7185992035,7185992035,2418804919,67100,0,91,21658,1
386,ITIC,Indonesian Tobacco Tbk.,--U-2100000000D311------------,252,0,09 Jan 2023,0,254,238,254,2,446400,109769000,173,115.5,254,57900,244,29600,940720000,940720000,274031736,0,156200,0,0,0
387,ITMA,Sumber Energi Andalan Tbk.,--U-2130000000A132------------,770,0,09 Jan 2023,0,780,720,725,-45,247000,180554000,196,208.6,730,2700,725,10000,999053167,999053167,576153961,15000,25900,0,0,0
388,ITMG,Indo Tambangraya Megah Tbk.,--MO1SDPUG3000A121------------,35400,35400,09 Jan 2023,35425,35750,34275,34800,-600,2587500,90779772500,5158,248.6,34850,4700,34800,9000,1129925000,1129925000,392535945,563900,452700,160,5661874,3
389,JARR,Jhonlin Agro Raya Tbk.,--U-2100000000D232------------,260,0,09 Jan 2023,0,292,252,284,24,9464200,2650882000,1745,94.7,286,26200,284,128800,8000000000,1222950000,1223200000,9000,14200,0,0,0
390,JAST,Jasnita Telekomindo Tbk.,--U-2130000000J311------------,84,0,09 Jan 2023,0,85,83,83,-1,1205000,100283800,209,33.7,84,122900,83,1300,1082574979,1082574979,455764066,0,0,0,0,0
391,JAWA,Jaya Agra Wattie Tbk.,--U-1100000000D232------------,128,0,09 Jan 2023,0,144,120,142,14,16154900,2153790100,2197,28.4,143,15900,142,6477500,3774685500,3774685500,754937100,0,0,0,0,0
392,JAYA,Armada Berjaya Trans Tbk.,--M-2130000000K211------------,107,0,09 Jan 2023,0,109,107,107,0,616900,66536900,103,43.9,108,136000,107,707200,795628980,795628980,318251592,0,0,0,0,0
393,JECC,Jembo Cable Company Tbk.,--U-2100000000C131------------,4950,0,09 Jan 2023,0,0,0,4950,0,0,0,0,375.2,4930,1700,0,0,151200000,151200000,12715920,0,0,0,0,0
394,JGLE,Graha Andrasentra Propertindo Tbk.,--U-2135000000E514-----------X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,35.7,50,460256200,0,0,22581909405,22581909405,9231484565,0,0,0,0,0
395,JIHD,Jakarta International Hotels & Development Tbk.,--U-2130000000E512------------,346,0,09 Jan 2023,0,348,340,340,-6,34600,11846200,27,192.9,342,10900,340,100,2329040482,2329040482,548256129,0,0,0,0,0
396,JKON,Jaya Konstruksi Manggala Pratama Tbk.,--M-1135000000J211------------,110,0,09 Jan 2023,0,113,104,104,-6,18819600,2025441300,1799,86.1,105,100500,104,494800,16308519860,16308519860,5846604370,550900,1253100,0,0,0
